Slice 0:
103.957809 202.456284 0.864649
119.444901 206.852707 0.937618
113.991776 207.428970 0.938513
110.637924 206.948715 0.915649
108.589981 206.056015 0.836447
67.509933 149.206894 0.871311
75.396927 143.550735 0.880560
81.885361 138.997910 0.892166
88.500015 137.389023 0.803890
94.768967 138.038162 0.749689
93.972397 139.641617 0.859892
100.426620 139.737656 0.909016
101.523636 140.855362 0.896650
100.631607 142.086533 0.846467
96.163315 144.654434 0.858121
102.215714 144.880661 0.909921
102.002457 146.064560 0.923652
100.005997 146.992783 0.864008
96.226212 150.902664 0.864704
101.368912 151.296524 0.889018
101.479874 151.855453 0.889547
99.977768 151.907150 0.840338
95.786057 155.367416 0.882721
99.184494 156.082779 0.927926
100.070816 156.316086 0.925356
99.794907 156.028244 0.869360

Slice 4:
115.417511 79.966797 0.991560
130.634644 69.581360 0.979057
102.908829 70.700989 0.976163
153.098816 74.983582 0.969443
89.071106 76.962067 0.917812
180.859100 132.729309 0.843409
63.921997 128.183350 0.874156
212.855103 188.340332 0.927729
7.539429 180.899963 0.929287
143.105164 193.158020 0.927051
59.743195 148.571716 0.914305
161.339508 250.195068 0.821709
78.662720 250.442627 0.818709
134.506104 87.648254 0.211683
104.888504 86.357391 0.143556
149.396606 61.461853 0.232471
141.442627 61.624725 0.201081
125.439270 51.834747 0.348987
125.373901 51.964630 0.337755
110.766418 189.384033 0.299937
88.348785 79.091187 0.304888
88.213593 78.962036 0.294028
131.959869 60.665466 0.306098
89.720734 71.669739 0.978060
90.416412 77.764893 0.975517
91.904968 84.002808 0.982647
93.948441 89.800995 0.985176
97.219986 95.304077 0.983094
101.762573 100.006592 0.992350
107.251709 103.689209 0.987777
113.616821 105.610046 0.989399
120.338165 105.601288 1.005707
126.964783 104.214783 1.004780
133.194946 101.828674 0.976695
138.764587 98.631409 0.980779
143.550415 94.178406 0.976627
146.831238 88.611084 0.992117
148.978821 82.688293 0.974386
150.948608 76.035767 0.976150
151.042725 70.183807 0.971235
94.504532 65.734863 0.992943
97.440979 64.063660 0.999454
101.447723 63.491425 0.987994
105.703506 63.572052 0.993055
109.814270 64.080841 0.969856
122.100403 63.447571 0.962246
126.723022 62.596008 0.977392
131.644287 62.349274 0.965917
136.489197 62.885956 0.976610
140.389679 64.461151 0.991267
115.753906 69.601379 0.948146
115.434814 73.569214 0.983352
115.209961 77.061707 1.004753
115.298553 80.688690 1.000877
110.722595 84.749634 0.984849
113.098572 85.284668 1.000484
115.810242 85.469604 0.997250
118.625610 85.084503 1.002625
121.169281 84.454132 0.971559
98.090332 71.134644 0.990445
101.304489 70.066956 0.976387
105.176117 69.787445 0.975412
108.501343 70.781677 0.967649
105.131897 72.027252 0.994278
101.543152 72.252258 0.998938
124.243683 70.029327 0.953290
128.031281 68.765991 0.988772
132.422943 68.892883 0.992632
136.273132 69.809753 0.974936
132.323730 71.027771 0.993790
128.220215 71.001892 0.990863
108.134338 93.347412 0.962021
110.995972 91.671326 1.002571
114.310181 90.694031 0.996195
115.953491 90.695221 0.986849
117.697662 90.561951 0.989079
121.958374 91.292114 0.996515
126.020203 92.626648 0.959455
123.240936 94.168823 0.974026
119.898804 95.296143 0.975964
116.378174 95.813110 0.973463
113.317566 95.668579 0.989279
110.598785 94.792511 0.978937
108.886963 93.364471 0.975520
112.368225 92.651337 0.999103
116.053864 92.279297 0.996349
120.529877 92.350159 0.997972
125.094055 92.712006 0.971289
120.687744 93.483093 0.979959
116.126099 93.796631 0.977960
112.378845 93.855713 0.983577
141.277832 193.012970 0.868256
129.576660 189.971863 0.856071
120.158630 187.693420 0.902849
111.456360 188.275635 0.863579
104.545090 190.124878 0.881260
112.747009 191.245087 0.892391
104.106003 193.233765 0.944028
100.640930 194.065002 1.015991
99.507858 194.309448 0.976729
114.042633 196.473083 0.865133
104.675201 198.375244 0.927388
101.863266 198.387512 0.979872
101.486664 197.891785 0.894301
116.480103 202.134583 0.906389
108.588074 203.335419 0.901964
105.841766 202.853241 0.930290
105.229599 201.867157 0.838835
118.004578 205.457611 0.958500
113.086914 206.411774 0.950910
110.507263 206.181793 0.925095
109.253357 205.421051 0.857534
61.112595 147.796692 0.878002
67.906769 141.721985 0.852807
74.355865 136.648804 0.907468
80.516541 135.283569 0.860814
85.747849 136.476440 0.755303
84.599945 137.041565 0.882455
90.508118 137.657349 0.919033
91.735458 139.302582 0.880482
91.085007 140.768707 0.832541
87.108398 141.799225 0.855869
93.199249 142.665131 0.885906
93.567993 144.185913 0.881731
92.057541 145.119019 0.829780
88.172516 147.523804 0.880927
93.688080 148.116638 0.920789
94.514023 148.879883 0.905498
93.478607 149.102295 0.831462
88.539276 151.429474 0.868488
92.471863 151.965363 0.917501
93.832733 152.254517 0.926329
93.881973 152.173584 0.870226

Slice 5:
115.163467 79.896790 0.991651
130.285751 69.714386 0.968510
102.697708 70.616943 0.979455
153.033432 74.873749 0.975699
89.096542 76.645660 0.914172
180.853073 132.191498 0.847092
62.862885 128.343903 0.856716
212.599899 188.358459 0.924419
6.317871 179.302368 0.909885
143.025192 192.522736 0.942790
56.392441 148.158722 0.906557
160.796463 250.137421 0.828899
75.860733 250.508881 0.824151
134.056595 87.647308 0.209106
102.997787 86.211212 0.167569
149.066422 61.094482 0.234153
142.000900 62.019684 0.206861
125.555618 51.873291 0.353266
125.522568 51.990448 0.343268
110.097427 189.458282 0.311290
87.812271 79.177582 0.308056
87.713882 78.990997 0.296954
131.206345 60.478302 0.300169
89.724365 71.357086 0.976739
90.403183 77.490265 0.974847
91.835770 83.754547 0.987620
93.821198 89.550201 0.983412
97.017746 95.088104 0.985543
101.460617 99.868713 0.994397
106.873672 103.599213 0.991980
113.211258 105.619781 0.980240
119.924820 105.687927 1.005842
126.609970 104.294281 1.006618
132.885025 101.885834 0.972138
138.477341 98.692139 0.981168
143.288437 94.233002 0.977320
146.606247 88.640717 0.988143
148.813889 82.686890 0.977375
150.862869 75.969269 0.973027
150.954880 70.125214 0.979486
94.375839 65.555756 0.987863
97.299362 63.908142 0.993841
101.296860 63.367645 0.983101
105.551712 63.477936 0.988013
109.666306 64.011078 0.962463
121.905045 63.454315 0.962130
126.501114 62.622467 0.981245
131.400040 62.384888 0.971962
136.241684 62.924622 0.982635
140.163315 64.502350 0.986532
115.554153 69.589050 0.954305
115.220322 73.532288 0.982216
114.979965 76.996552 1.002617
115.039780 80.617340 0.997837
110.411453 84.632904 0.983274
112.791183 85.177216 0.989517
115.497849 85.376892 0.996701
118.308731 85.010773 0.998908
120.843307 84.398102 0.974223
97.910950 71.017181 0.991493
101.104996 69.974487 0.976719
104.960648 69.720001 0.970856
108.286209 70.729462 0.974021
104.905930 71.954010 0.989659
101.330093 72.158417 0.996106
123.946762 70.113831 0.970169
127.709213 68.878967 0.989286
132.078201 69.029114 0.988258
135.940598 69.958221 0.975302
131.953506 71.179596 0.997180
127.870316 71.128387 1.000678
107.694046 93.228363 0.972881
110.576645 91.564819 1.006699
113.918320 90.590729 0.997004
115.561874 90.598969 0.993215
117.305923 90.474213 0.987191
121.557877 91.247406 0.992634
125.609482 92.634766 0.952389
122.830307 94.193970 0.968867
119.480515 95.327118 0.980430
115.961349 95.832306 0.977908
112.889725 95.647369 0.985737
110.155350 94.719757 0.985313
108.444351 93.253906 0.973965
111.943802 92.561066 1.005220
115.642685 92.206360 0.999207
120.121109 92.309692 1.000843
124.690536 92.716095 0.974800
120.273972 93.478394 0.980276
115.708115 93.775177 0.981952
111.948227 93.793823 0.987084
141.307755 192.345062 0.887670
130.106857 188.964691 0.857862
120.531509 186.572906 0.918605
111.999252 187.170959 0.878128
104.682968 189.047638 0.869957
113.570908 190.911713 0.932745
105.089279 192.874176 0.949382
100.254623 193.890839 1.001554
97.858292 194.483582 0.992777
114.911758 196.322540 0.889415
105.576462 198.465057 0.938693
100.960983 198.927155 0.982435
98.985672 198.777649 0.923545
117.521835 201.943207 0.918810
109.508194 203.480621 0.926164
105.423264 203.598328 0.943956
103.310410 203.008057 0.872948
119.159378 205.241699 0.973913
113.989029 206.407898 0.980684
110.788651 206.571594 0.950047
108.741989 206.198486 0.871697
57.839935 147.401154 0.874759
64.758591 141.525574 0.862547
70.979813 136.393738 0.927185
76.831299 134.718414 0.859190
81.555527 135.622681 0.777310
81.407806 136.881775 0.892466
86.924179 137.298187 0.899580
87.329544 138.801910 0.858972
85.847061 140.309235 0.808439
83.832626 141.835724 0.843413
89.290207 142.518524 0.915286
88.523819 143.990631 0.904713
86.076172 144.972473 0.823117
84.748520 147.780121 0.879421
89.660736 148.241058 0.941953
89.527573 148.996918 0.929554
87.692307 149.216522 0.839001
85.029953 151.874237 0.880537
88.577759 152.351044 0.944781
89.367523 152.623077 0.958158
88.868408 152.532867 0.897890

Slice 6:
114.493042 80.093033 0.983075
129.705856 69.646805 0.960734
102.055099 71.052231 0.959268
153.053940 74.547836 0.967836
88.905411 76.694656 0.904940
181.413315 132.696854 0.848455
62.668915 128.019608 0.836713
213.295822 188.053482 0.913661
4.433868 176.209976 0.840165
144.200302 192.742325 0.951874
50.219986 148.950089 0.854172
160.278427 249.778214 0.796076
75.118393 249.517929 0.803355
133.353012 89.403946 0.260463
104.804199 88.801254 0.187554
146.271469 61.185287 0.285647
120.609299 61.939865 0.251086
126.046249 53.661911 0.407008
125.943283 53.796951 0.398386
129.360336 58.976273 0.330753
88.244980 78.787186 0.386463
88.202805 78.619095 0.375882
